-,-,-
-459, 691, 1350
-238, 779, 1413
-421, 748, 1444
-392, 802, 1434
-303, 886, 1426
-234, 947, 1342
-217, 967, 1266
-217, 967, 1266
-165, 979, 1248
-49, 996, 1104
-46, 917, 756
-33, 899, 614
-75, 931, 483
-117, 950, 411
-195, 948, 365
-324, 963, 348
-324, 963, 348
-343, 973, 316
-261, 943, 324
-117, 809, 343
-142, 729, 360
-155, 628, 375
-8, 457, 207
73, 276, -50
73, 276, -50
228, 210, -63
116, 187, 29
132, 97, 46
132, 97, 46
143, -62, -2
220, -251, -255
280, -397, -394
283, -550, -66
111, -784, 108
138, -1068, -61
273, -1219, -52
273, -1219, -52
242, -1205, 272
-72, -1291, 734
-129, -1317, 872
-55, -1186, 861
-260, -888, 1111
-691, -651, 1362
-832, -495, 1364
-767, -387, 1345
-733, -273, 1307
-534, -170, 1414
-700, 84, 1485
-710, 257, 1531
-636, 260, 1604
-520, 309, 1545
-,-,-
22, -362, 1279
-241, -349, 1392
-395, -47, 1491
-176, 226, 1399
-1, 404, 1347
-1, 404, 1347
-77, 534, 1619
-192, 690, 1731
-472, 703, 1249
-331, 901, 1201
-3, 952, 1155
0, 818, 1091
37, 807, 1083
37, 807, 1083
-16, 793, 915
-114, 766, 640
49, 714, 363
310, 517, 359
310, 517, 359
558, 372, 512
719, 205, 386
572, 45, 57
218, -101, -380
-32, -475, -646
-32, -475, -646
282, -961, -536
667, -1439, 46
607, -1804, 891
325, -1791, 1561
231, -1409, 1795
-70, -955, 1702
-390, -374, 1761
-581, 138, 1801
-,-,-
-56, -525, 1939
-179, -456, 1779
122, -101, 1532
236, 326, 1423
383, 733, 1415
7, 861, 1624
-148, 1129, 1901
-134, 1387, 1636
-183, 1277, 1202
114, 1277, 751
360, 1096, 452
601, 1001, 505
601, 1001, 505
534, 722, 518
345, 499, 310
101, 272, 91
134, 123, -126
364, -96, -143
364, -96, -143
613, -345, 127
582, -656, -84
351, -896, -659
381, -1047, -1136
592, -1231, -863
837, -1328, 12
714, -1454, 857
583, -1360, 1313
380, -1123, 1655
256, -780, 1886
246, -394, 1957
420, 133, 1987
420, 133, 1987
-,-,-
78, -225, 1959
300, 64, 1808
230, 353, 1717
42, 833, 1748
42, 833, 1748
-617, 1025, 1713
-619, 1197, 1662
74, 1392, 1238
557, 1339, 519
585, 1169, 202
506, 963, 494
430, 992, 602
430, 992, 602
271, 808, 452
83, 600, 376
56, 491, 91
219, 316, -262
219, 316, -262
394, 93, -243
510, -90, -295
507, -351, -683
727, -627, -856
1157, -939, -593
1497, -1275, -373
1494, -1664, -118
1248, -1997, 564
1058, -1722, 1436
820, -1280, 1646
492, -784, 1826
63, -179, 1998
-381, 533, 1998
-589, 999, 1998
-,-,-
487, -1246, 1450
-164, -1878, 796
847, -1278, 1108
1382, -1189, 1194
1042, -204, 1903
-91, 645, 1998
-886, 1343, 1822
-834, 1518, 1396
-450, 1268, 1693
-185, 975, 1975
216, 1127, 1562
386, 1099, 891
333, 881, 734
333, 881, 734
478, 767, 1002
568, 708, 883
440, 671, 545
257, 663, 256
257, 663, 256
132, 595, 312
293, 497, 440
449, 340, 568
365, 312, 522
255, 250, 354
255, 250, 354
273, 115, 367
402, -22, 398
473, -255, 43
417, -533, -563
392, -897, -1146
711, -1389, -1280
1060, -1723, -526
1187, -1870, 386
1000, -1806, 856
782, -1414, 1457
-,-,-
922, -1269, 1329
1143, -1194, 1528
630, -618, 1998
-267, 207, 1998
-803, 879, 1998
-845, 1221, 1907
-808, 1327, 1976
-619, 1341, 1784
-202, 1419, 1512
223, 1486, 1254
587, 1348, 682
587, 1348, 682
583, 1062, 442
594, 938, 374
551, 701, 207
489, 550, -78
488, 390, -441
440, 152, -515
440, 152, -515
592, -5, -196
635, -199, -89
421, -359, -363
358, -596, -564
535, -918, -323
894, -1288, 106
948, -1567, 634
740, -1679, 1147
660, -1643, 1334
660, -1320, 1844
684, -819, 1998
-,-,-
665, -966, 1061
520, -963, 1537
685, -360, 1998
139, 167, 1998
-425, 598, 1998
-430, 1049, 1954
-471, 1333, 1996
35, 1411, 764
35, 1411, 764
-1327, 1283, 1863
1, 1598, 1049
227, 1466, 584
128, 1191, 629
510, 965, 573
584, 734, 430
584, 734, 430
378, 620, 450
269, 543, 424
457, 461, 52
555, 288, -82
555, 288, -82
673, 146, 33
705, -36, -270
686, -253, -918
760, -592, -1136
956, -998, -739
1007, -1501, -152
1194, -1748, 551
1272, -1931, 1086
1220, -1613, 1907
903, -1023, 1998
254, -433, 1998
-,-,-
472, 185, 1981
472, 185, 1981
-270, 694, 1998
-645, 1110, 1820
-643, 1257, 1567
-239, 1227, 1409
-2, 1174, 1422
205, 1147, 1024
430, 1055, 511
506, 933, 199
271, 760, 481
271, 760, 481
438, 694, 578
409, 549, 260
109, 465, 233
190, 394, 187
295, 236, 318
295, 236, 318
400, 108, 332
545, -38, 29
572, -238, -347
586, -512, -527
790, -828, -722
1150, -1160, -537
1075, -1418, 319
744, -1691, 862
720, -1758, 1162
724, -1525, 1423
583, -1184, 1795
-,-,-
507, -891, 1975
493, -255, 1998
38, 425, 1998
-493, 859, 1998
-890, 1112, 1977
-741, 1151, 1634
-186, 1208, 1209
130, 1143, 840
130, 1143, 840
262, 1074, 758
282, 1113, 450
40, 1043, 388
183, 911, 517
523, 786, 427
526, 685, 183
526, 685, 183
328, 523, 176
6, 382, 405
192, 241, 371
503, 106, 160
503, 106, 160
697, -64, -48
784, -361, -248
771, -619, -383
897, -920, -482
1118, -1318, -52
1272, -1627, 614
1028, -1777, 933
787, -1692, 1001
683, -1378, 1228
-,-,-
403, -727, 420
318, -944, 651
489, -1143, 915
657, -1079, 1123
913, -753, 1354
913, -753, 1354
464, -476, 1373
73, 63, 1994
-350, 484, 1998
-384, 772, 1998
-255, 1101, 1998
-341, 1245, 1957
-334, 1357, 1475
-205, 1397, 1104
-6, 1384, 1090
257, 1335, 875
534, 1255, 512
534, 1255, 512
510, 1133, 165
539, 1021, -8
609, 859, -96
588, 678, -278
555, 487, -493
533, 245, -667
533, 245, -667
630, -134, -508
887, -501, -401
1083, -1024, -496
1020, -1565, -141
1187, -1953, 668
1168, -1998, 1450
856, -1761, 1961
382, -1214, 1998
-97, -631, 1998
-509, -114, 1998
-,-,-
444, -893, 1239
459, -939, 1571
618, -559, 1937
310, 159, 1998
-352, 739, 1998
-745, 1183, 1968
-850, 1414, 1703
-622, 1500, 1681
-173, 1507, 1556
152, 1426, 1225
212, 1347, 907
210, 1236, 763
210, 1236, 763
345, 1103, 699
531, 954, 506
528, 777, 242
409, 598, 128
383, 410, 124
383, 410, 124
481, 150, 79
765, -154, -204
995, -508, -486
1042, -929, -729
1075, -1339, -836
1165, -1720, -262
1082, -1867, 421
1015, -1769, 802
766, -1477, 1392
436, -1049, 1920
-,-,-
69, -623, 1329
234, -538, 1331
515, -103, 1969
310, 401, 1998
310, 401, 1998
-355, 763, 1971
-713, 1032, 1790
-591, 1187, 1813
-179, 1312, 1618
74, 1312, 1307
203, 1330, 1108
74, 1329, 1098
29, 1324, 919
139, 1262, 700
247, 1062, 598
247, 1062, 598
420, 890, 294
568, 666, -47
594, 347, -255
566, 63, -402
664, -167, -574
697, -488, -663
943, -867, -606
943, -867, -606
1320, -1281, -622
1717, -1663, -288
1696, -1778, 602
1048, -1578, 1202
367, -1153, 1499
-,-,-
435, -533, 1220
78, -535, 1551
78, -535, 1551
300, -60, 1873
263, 222, 1998
-29, 457, 1998
-142, 776, 1998
-210, 1061, 1973
-289, 1222, 1817
-201, 1383, 1664
-108, 1430, 1576
7, 1445, 1421
152, 1401, 1275
363, 1344, 929
363, 1344, 929
478, 1228, 508
507, 1002, 384
585, 797, 359
686, 601, 55
677, 417, -352
438, 157, -726
438, 157, -726
541, -187, -811
900, -575, -877
1124, -943, -1156
1151, -1346, -1126
1216, -1692, -133
1296, -1909, 826
1173, -1878, 1528
763, -1534, 1962
256, -1005, 1998
-,-,-
24, -514, 1369
90, -483, 1717
336, -368, 1683
456, 85, 1941
112, 518, 1998
-521, 943, 1998
-788, 1227, 1995
-644, 1337, 1891
-248, 1466, 1954
-70, 1570, 1919
372, 1730, 1407
545, 1701, 779
545, 1701, 779
686, 1528, 590
815, 1336, 435
945, 1108, -81
894, 785, -700
730, 396, -882
856, 8, -848
856, 8, -848
1011, -510, -1055
1025, -922, -1260
936, -1309, -1088
898, -1817, -166
976, -1998, 785
952, -1998, 1045
786, -1869, 1529
543, -1375, 1972
221, -823, 1998
-,-,-
352, -658, 581
352, -658, 581
468, -704, 815
577, -480, 1362
376, -322, 1639
27, -59, 1841
-64, 305, 1998
-102, 687, 1998
-406, 1080, 1998
-644, 1301, 1900
-507, 1410, 1622
-326, 1506, 1633
-142, 1612, 1559
-142, 1612, 1559
5, 1732, 1356
164, 1770, 1032
501, 1725, 623
742, 1608, 194
826, 1368, -91
877, 1073, -360
1061, 864, -869
1250, 358, -1434
1306, -413, -1856
1377, -1091, -1647
1410, -1800, -556
1628, -1998, 553
1814, -1998, 1095
1213, -1998, 1942
628, -1872, 1998
233, -1204, 1998
47, -452, 1998
-105, 355, 1998
-,-,-
291, -914, 1387
544, -745, 1441
459, -455, 1954
-11, 138, 1998
-557, 714, 1998
-677, 1131, 1959
-752, 1413, 1851
-753, 1511, 1664
-426, 1662, 1553
-426, 1662, 1553
-128, 1843, 1438
101, 1900, 1080
432, 1839, 780
506, 1665, 565
628, 1448, 274
722, 1131, -127
779, 863, -461
827, 436, -430
1009, -73, -525
1244, -746, -841
1352, -1522, -780
1695, -1987, -369
1976, -1998, 407
1855, -1998, 961
1310, -1979, 1305
648, -1336, 1702
-24, -428, 1998
-,-,-
396, -817, -108
310, -882, 329
304, -933, 768
586, -767, 1098
687, -739, 1068
236, 363, 1978
14, 294, 1998
-438, 720, 1998
-430, 964, 1998
-430, 964, 1998
-213, 1329, 1998
-528, 1544, 1896
-580, 1700, 1395
-363, 1714, 1401
248, 1669, 1702
685, 1622, 1460
751, 1575, 961
