-,-,-
-445, -206, 686
-534, -199, 715
-625, -185, 741
-563, -221, 668
-563, -221, 668
-501, -216, 704
-524, -278, 805
-496, -367, 697
-191, -630, 310
305, -988, -9
834, -1410, -169
1530, -1820, -741
1996, -1934, -1600
1943, -1212, -1259
1494, -321, -103
1243, 517, 763
581, 1152, 1303
82, 1662, 1675
-536, 1997, 1979
-930, 1997, 1998
-623, 1997, 1997
-40, 1997, 1803
-177, 1997, 1994
-598, 1997, 1972
-544, 1997, 1347
-229, 1994, 835
30, 1651, 1023
160, 1115, 1072
416, 581, 603
519, 35, 476
519, 35, 476
753, -363, 798
779, -505, 1272
578, -505, 1562
420, -494, 1321
260, -383, 1050
107, -241, 1002
7, -175, 1099
-57, -171, 1255
-10, -162, 1324
84, -156, 1300
84, -156, 1300
119, -112, 1436
-,-,-
-248, -272, 785
-350, -214, 823
-233, -201, 986
-206, -261, 926
-121, -342, 622
-119, -661, -89
218, -1125, -658
882, -1444, -641
1363, -1493, 88
1498, -1110, 989
866, -528, 1786
866, -528, 1786
32, 3, 1960
-435, 480, 1616
-518, 897, 1351
-590, 1202, 1465
-691, 1309, 1607
-666, 1408, 1540
-676, 1552, 1477
-693, 1647, 1408
-587, 1661, 1312
-495, 1539, 1286
-345, 1359, 1114
-156, 1155, 876
68, 876, 741
185, 536, 793
185, 536, 793
271, 72, 883
-,-,-
21, -458, 358
-48, -508, 762
118, -805, 657
118, -805, 657
485, -1499, -37
1025, -1984, -610
1828, -1917, -1419
1998, -1346, -1605
1716, -541, 141
758, 346, 1508
-115, 976, 1998
-356, 1405, 1952
-392, 1870, 1777
-666, 1997, 1971
-1081, 1997, 1998
-1216, 1997, 1998
-1154, 1997, 1925
-929, 1997, 1502
-700, 1997, 812
-191, 1866, 245
330, 912, -150
704, -275, -72
1737, -1274, 372
1998, -1935, 1472
-,-,-
295, -389, 160
-22, -452, 692
-22, -452, 692
-106, -891, 316
381, -1782, -767
1849, -1998, -1890
1998, -1749, -1997
1998, -631, -981
1623, 635, 1246
65, 1449, 1998
-521, 1932, 1873
-637, 1997, 1992
-986, 1997, 1998
-1408, 1997, 1998
-1588, 1997, 1998
-1439, 1997, 1998
-1038, 1997, 1992
-352, 1997, 1633
185, 1726, 829
587, 898, -31
907, -259, -119
1402, -1225, 621
1943, -1843, 921
-,-,-
71, -532, 251
-116, -542, 377
-60, -872, 622
274, -1624, 220
1389, -1998, -963
1998, -1936, -1992
1998, -1228, -1997
1571, -261, -1128
758, 595, 1203
726, 1222, 1995
